numero_item;descricao;marca;unidade_medida;quantidade_contratada;valor_unitario;saida;tipo_item
70;REGUA ESCRITORIO, MATERIAL PLASTICO FLEXIVEL, COMPRIMENTO 30 CM.;WALEU;UNIDADE;60;3.40;30;CONSUMO
71;TESOURA LAMINA EM ACO INOX, 7 POLEGADAS, APROXIMADAMENTE 18CM, COM CABO PLASTICO PRETO.;JOCAR;UNIDADE;50;6.50;45;CONSUMO
72;TINTA PARA CARIMBO, COR AZUL, COMPONENTES GLICOIS, CORANTES ORGANICOS E AGUA, ASPECTO FISICO LIQUIDO, APLICACAO AUTO-ENTINTADO, CAPACIDADE FRASCO 40 ML;REDEX;UNIDADE;65;3.00;5;CONSUMO
73;MOUSE PAD, MATERIAL BORRACHA ANTIDERRAPANTE, CARACTERISTICAS ADICIONAIS COM APOIO DE PUNHO EM GEL, COR PRETA, TIPO ERGONOMICO.;MULTILASER;UNIDADE;100;25.50;100;CONSUMO
74;SUPORTE PARA MONITOR E NOTEBOOK 4 NIVEIS DESMONTAVEIS.;WALEU;UNIDADE;65;42.00;0;CONSUMO
75;APOIO ERGONOMICO PARA OS PES.;WALEU;UNIDADE;65;56.70;15;CONSUMO
76;VISOR, MATERIAL PLASTICO, TIPO FIXACAO ENCAIXE, APLICACAO PASTA SUSPENSA, CARACTERISTICAS ADICIONAIS COM ETIQUETA, CAIXA COM 50 UNIDADES.;DELO;CAIXA COM 50 UNID;15;8.50;15;CONSUMO
77;TINTA PARA ARTESANATO 100 ML. CORES DIVERSAS. CHALCK PAINT OU SUPREMA. AS CORES DEVERAO SER ENVIADAS DE ACORDO COM O PEDIDO DO ALMOXARIFADO, MEDIANTE AUTORIZACAO DE FORNECIMENTO;DAC;UNIDADE;70;5.50;70;CONSUMO
78;TINTA PRETA PARA CARIMBOS NUMERADORES AUTOMATICOS 30 ML. TINTA A BASE DE OLEO PARA ALMOFADAS DE FELTRO A SER UTILIZADAS EM NUMERADORES AUTOMATICOS DE METAL.;TRODAT;UNIDADE;50;18.60;5;CONSUMO
79;PAPEL FOTOGRAFICO BRILHANTE AUTO ADESIVO TAMANHO A4;MASTERPRINT;RESMA COM 50 FOLHAS;50;22.90;50;CONSUMO
80;FITA DE CETIM N 1, 10 METROS, CORES DIVERSAS.;PROGRESSO;UNIDADE;50;2.55;50;CONSUMO
81;FITA DE CETIM N 3, 10 METROS, CORES DIVERSAS.;PROGRESSO;UNIDADE;50;4.23;50;CONSUMO
82;FITA DE CETIM N 5, 10 METROS, CORES DIVERSAS;PROGRESSO;UNIDADE;50;9.90;50;CONSUMO
