Item;Descrição;Marca;Unidade;Preco_Unitario;Quantidade;Saida;Valor_R$;Estoque_Atual
72;TINTA PARA CARIMBO, COR AZUL, COMPONENTES GLICOIS, CORANTES ORGANICOS E AGUA, ASPECTO FISICO LIQUIDO, APLICACAO AUTO-ENTINTADO, CAPACIDADE FRASCO 40 ML;REDEX;UNIDADE;3,00;65;5;180,00;60
73;MOUSE PAD, MATERIAL BORRACHA ANTIDERRAPANTE, CARACTERISTICAS ADICIONAIS COM APOIO DE PUNHO EM GEL, COR PRETA, TIPO ERGONOMICO.;MULTILASER;UNIDADE;25,50;100;100;0,00;0
74;SUPORTE PARA MONITOR E NOTEBOOK 4 NIVEIS DESMONTAVEIS.;WALEU;UNIDADE;42,00;65;0;2.730,00;65
75;APOIO ERGONOMICO PARA OS PES.;WALEU;UNIDADE;56,70;65;15;2.835,00;50
76;VISOR, MATERIAL PLASTICO, TIPO FIXACAO ENCAIXE, APLICACAO PASTA SUSPENSA, CARACTERISTICAS ADICIONAIS COM ETIQUETA, CAIXA COM 50 UNIDADES.;DELO;CAIXA COM 50 UNID;8,50;15;15;0,00;0
77;TINTA PARA ARTESANATO 100 ML. CORES DIVERSAS. CHALCK PAINT OU SUPREMA. AS CORES DEVERAO SER ENVIADAS DE ACORDO COM O PEDIDO DO ALMOXARIFADO, MEDIANTE AUTORIZACAO DE FORNECIMENTO;DAC;UNIDADE;5,50;70;70;0,00;0
78;TINTA PRETA PARA CARIMBOS NUMERADORES AUTOMATICOS 30 ML. TINTA A BASE DE OLEO PARA ALMOFADAS DE FELTRO A SER UTILIZADAS EM NUMERADORES AUTOMATICOS DE METAL.;TRODAT;UNIDADE;18,60;50;5;837,00;45
79;PAPEL FOTOGRAFICO BRILHANTE AUTO ADESIVO TAMANHO A4;MASTERPRINT;RESMA COM 50 FOLHAS;22,90;50;50;0,00;0
80;FITA DE CETIM N 1, 10 METROS, CORES DIVERSAS.;PROGRESSO;UNIDADE;2,55;50;50;0,00;0
81;FITA DE CETIM N 3, 10 METROS, CORES DIVERSAS.;PROGRESSO;UNIDADE;4,23;50;50;0,00;0
82;FITA DE CETIM N 5, 10 METROS, CORES DIVERSAS;PROGRESSO;UNIDADE;9,90;50;50;0,00;0
83;FITA DE JUTA 30MM, ROLO COM APROXIMADAMENTE 10 METROS, CORES DIVERSAS.;PROGRESSO;ROLO COM 10 METROS;23,70;30;0;711,00;30
84;FIO DE JUTA NATURAL, 1 MM A 3MM APROXIMADAMENTE, ROLO DE NO MINIMO 50 METROS.;KIT ROLO;ROLO;10,20;30;0;306,00;30
85;COLA COLORIDA, TIPO GLITTER, 23G, CORES DIVERSAS, CAIXA COM 6 UNIDADES.;GATTE;CAIXA COM 6 UNID;12,90;20;20;0,00;0
86;LAPIS DE COR, 12 CORES, TAMANHO GRANDE, FORMATO REDONDO OU SEXTAVADO, CAIXA COM 12 UNIDADES;BAZZE;CAIXA COM 12 UNID;2,45;24;24;0,00;0
87;CANETA HIDROGRAFICA 12 CORES, TAMANHO GRANDE, ESCRITA FINA, CAIXA COM 12 UNIDADES.;BAZZE;CAIXA COM 12 UNID;3,90;24;24;0,00;0
88;GIZ DE CERA CORES SORTIDAS, FORMATO ANATOMICO, NAO TOXICO, PESO LIQUIDO 48G. CAIXA COM 12 UNIDADES.;LEONORA;CAIXA COM 12 UNID;4,90;24;24;0,00;0
89;FITA BANANA DUPLA FACE ESPONJOSA, 16 A 19MM, ROLO COM NO MINIMO 10 METROS.;KORETECH;ROLO COM 10 METROS;6,80;100;80;136,00;20
90;MOLHA DEDO GLICERINADO, SEM ALCOOL, POTE COM 12 GRAMAS.;WALEU;UNIDADE;2,77;100;30;193,90;70
91;GRAFITE PARA LAPISEIRA: PONTA 0,7. ESTOJO COM 12 GRAFITES, PARA USO TECNICO, ESCOLAR E GERAL;LEONORA;UNIDADE;1,00;52;25;27,00;27
92;PAPEL VERGE BRANCO 180GR COM NO MINIMO AS SEGUINTES ESPECIFICACOES: PAPEL VERGE DE PAPELARIA, TEXTURA LEVEMENTE RUGOSA, FORMATO A4, MEDIDAS (210X297)MM, NA COR BRANCO, GRAMATURA 120G.;BAHIA ARTES GRAFICA;RESMA COM 50 FOLHAS;9,90;100;35;643,50;65
93;PORTA-LAPIS/CLIPE/LEMBRETE, PORTA OBJETO, CLIPS, CANETA, BLOCO P/ RECADO. MATERIAL EM ACRILICO CRISTAL.;WALEU;UNIDADE;9,80;40;15;245,00;25
94;FITA DUPLA FACE FIXA FORTE TRANSPARENTE 24MM X 2M SUPORTA ATE 5KG;KORETECH;UNIDADE;12,07;100;10;1.086,30;90
